wavelet,pearson correlation,nrmse,compression ratio,mode,threshold,levels
haar,0.9477139188719176,4.915219434973012,16.106919337721155,soft,150,1
haar,0.9651913773915942,1.860768174440817,16.09033476874212,hard,150,1
bior1.3,0.9656755072355973,1.7986836101339474,14.888007492541773,hard,150,1
bior1.3,0.9485389943078254,4.620750223527767,13.88620172901982,soft,150,1
haar,0.9290653436393739,3.030966231408002,10.633530648198072,soft,150,4
haar,0.955111825579468,1.90672018668008,10.419064758363891,hard,150,4
sym2,0.949390430580873,4.770044462093759,9.804109377824567,soft,150,1
coif1,0.9507186111244152,4.729869487396091,9.60256887613622,soft,150,1
sym2,0.9615053592757039,1.920142961398134,9.537283287818603,hard,150,1
coif1,0.9617069103561882,1.9230694172546818,8.733554516735579,hard,150,1
haar,0.9818928103568783,1.7291248389514406,8.267692369773219,soft,50,1
haar,0.9545673607548534,1.3330421421396004,8.096920584180067,hard,150,9
haar,0.9279056854940212,1.8545866550246572,8.061152313567083,soft,150,9
haar,0.9896075669689524,0.9360270407355739,7.995718073631789,hard,50,1
db4,0.9493478408763423,4.773067320636736,7.512161586862512,soft,150,1
bior1.3,0.9315751274213514,2.582309400958156,6.708454980199983,soft,150,4
db4,0.9618934115037251,1.909464327427245,6.358682177359148,hard,150,1
bior1.3,0.9823956085129649,1.6252289811222804,6.28752316507857,soft,50,1
bior1.3,0.9554817865341412,1.7740670126788616,5.741684726425786,hard,150,4
bior1.3,0.9894907108781932,0.9075883927675837,5.692313272612493,hard,50,1
coif1,0.9817694528952372,1.6990005950332945,5.040831529108166,soft,50,1
sym2,0.9814201677227206,1.7095801201483325,4.998079617929348,soft,50,1
bior1.3,0.9311409974349624,1.7633439793447592,4.918536370025887,soft,150,9
haar,0.9931984755228139,0.8913576460101332,4.517180939409231,soft,20,1
bior1.3,0.9549068949780402,1.330632442521825,4.37534093807651,hard,150,9
haar,0.9745212613997724,1.449186409933607,4.324771240373802,soft,50,4
sym2,0.9892009084091398,0.935114168995396,4.287973406784804,hard,50,1
